GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Male:,Margin of Error; Male:,Estimate; Male: - Under 6 years:,Margin of Error; Male: - Under 6 years:,Estimate; Male: - Under 6 years: - With health insurance coverage,Margin of Error; Male: - Under 6 years: - With health insurance coverage,Estimate; Male: - Under 6 years: - No health insurance coverage,Margin of Error; Male: - Under 6 years: - No health insurance coverage,Estimate; Male: - 6 to 17 years:,Margin of Error; Male: - 6 to 17 years:,Estimate; Male: - 6 to 17 years: - With health insurance coverage,Margin of Error; Male: - 6 to 17 years: - With health insurance coverage,Estimate; Male: - 6 to 17 years: - No health insurance coverage,Margin of Error; Male: - 6 to 17 years: - No health insurance coverage,Estimate; Male: - 18 to 24 years:,Margin of Error; Male: - 18 to 24 years:,Estimate; Male: - 18 to 24 years: - With health insurance coverage,Margin of Error; Male: - 18 to 24 years: - With health insurance coverage,Estimate; Male: - 18 to 24 years: - No health insurance coverage,Margin of Error; Male: - 18 to 24 years: - No health insurance coverage,Estimate; Male: - 25 to 34 years:,Margin of Error; Male: - 25 to 34 years:,Estimate; Male: - 25 to 34 years: - With health insurance coverage,Margin of Error; Male: - 25 to 34 years: - With health insurance coverage,Estimate; Male: - 25 to 34 years: - No health insurance coverage,Margin of Error; Male: - 25 to 34 years: - No health insurance coverage,Estimate; Male: - 35 to 44 years:,Margin of Error; Male: - 35 to 44 years:,Estimate; Male: - 35 to 44 years: - With health insurance coverage,Margin of Error; Male: - 35 to 44 years: - With health insurance coverage,Estimate; Male: - 35 to 44 years: - No health insurance coverage,Margin of Error; Male: - 35 to 44 years: - No health insurance coverage,Estimate; Male: - 45 to 54 years:,Margin of Error; Male: - 45 to 54 years:,Estimate; Male: - 45 to 54 years: - With health insurance coverage,Margin of Error; Male: - 45 to 54 years: - With health insurance coverage,Estimate; Male: - 45 to 54 years: - No health insurance coverage,Margin of Error; Male: - 45 to 54 years: - No health insurance coverage,Estimate; Male: - 55 to 64 years:,Margin of Error; Male: - 55 to 64 years:,Estimate; Male: - 55 to 64 years: - With health insurance coverage,Margin of Error; Male: - 55 to 64 years: - With health insurance coverage,Estimate; Male: - 55 to 64 years: - No health insurance coverage,Margin of Error; Male: - 55 to 64 years: - No health insurance coverage,Estimate; Male: - 65 to 74 years:,Margin of Error; Male: - 65 to 74 years:,Estimate; Male: - 65 to 74 years: - With health insurance coverage,Margin of Error; Male: - 65 to 74 years: - With health insurance coverage,Estimate; Male: - 65 to 74 years: - No health insurance coverage,Margin of Error; Male: - 65 to 74 years: - No health insurance coverage,Estimate; Male: - 75 years and over:,Margin of Error; Male: - 75 years and over:,Estimate; Male: - 75 years and over: - With health insurance coverage,Margin of Error; Male: - 75 years and over: - With health insurance coverage,Estimate; Male: - 75 years and over: - No health insurance coverage,Margin of Error; Male: - 75 years and over: - No health insurance coverage,Estimate; Female:,Margin of Error; Female:,Estimate; Female: - Under 6 years:,Margin of Error; Female: - Under 6 years:,Estimate; Female: - Under 6 years: - With health insurance coverage,Margin of Error; Female: - Under 6 years: - With health insurance coverage,Estimate; Female: - Under 6 years: - No health insurance coverage,Margin of Error; Female: - Under 6 years: - No health insurance coverage,Estimate; Female: - 6 to 17 years:,Margin of Error; Female: - 6 to 17 years:,Estimate; Female: - 6 to 17 years: - With health insurance coverage,Margin of Error; Female: - 6 to 17 years: - With health insurance coverage,Estimate; Female: - 6 to 17 years: - No health insurance coverage,Margin of Error; Female: - 6 to 17 years: - No health insurance coverage,Estimate; Female: - 18 to 24 years:,Margin of Error; Female: - 18 to 24 years:,Estimate; Female: - 18 to 24 years: - With health insurance coverage,Margin of Error; Female: - 18 to 24 years: - With health insurance coverage,Estimate; Female: - 18 to 24 years: - No health insurance coverage,Margin of Error; Female: - 18 to 24 years: - No health insurance coverage,Estimate; Female: - 25 to 34 years:,Margin of Error; Female: - 25 to 34 years:,Estimate; Female: - 25 to 34 years: - With health insurance coverage,Margin of Error; Female: - 25 to 34 years: - With health insurance coverage,Estimate; Female: - 25 to 34 years: - No health insurance coverage,Margin of Error; Female: - 25 to 34 years: - No health insurance coverage,Estimate; Female: - 35 to 44 years:,Margin of Error; Female: - 35 to 44 years:,Estimate; Female: - 35 to 44 years: - With health insurance coverage,Margin of Error; Female: - 35 to 44 years: - With health insurance coverage,Estimate; Female: - 35 to 44 years: - No health insurance coverage,Margin of Error; Female: - 35 to 44 years: - No health insurance coverage,Estimate; Female: - 45 to 54 years:,Margin of Error; Female: - 45 to 54 years:,Estimate; Female: - 45 to 54 years: - With health insurance coverage,Margin of Error; Female: - 45 to 54 years: - With health insurance coverage,Estimate; Female: - 45 to 54 years: - No health insurance coverage,Margin of Error; Female: - 45 to 54 years: - No health insurance coverage,Estimate; Female: - 55 to 64 years:,Margin of Error; Female: - 55 to 64 years:,Estimate; Female: - 55 to 64 years: - With health insurance coverage,Margin of Error; Female: - 55 to 64 years: - With health insurance coverage,Estimate; Female: - 55 to 64 years: - No health insurance coverage,Margin of Error; Female: - 55 to 64 years: - No health insurance coverage,Estimate; Female: - 65 to 74 years:,Margin of Error; Female: - 65 to 74 years:,Estimate; Female: - 65 to 74 years: - With health insurance coverage,Margin of Error; Female: - 65 to 74 years: - With health insurance coverage,Estimate; Female: - 65 to 74 years: - No health insurance coverage,Margin of Error; Female: - 65 to 74 years: - No health insurance coverage,Estimate; Female: - 75 years and over:,Margin of Error; Female: - 75 years and over:,Estimate; Female: - 75 years and over: - With health insurance coverage,Margin of Error; Female: - 75 years and over: - With health insurance coverage,Estimate; Female: - 75 years and over: - No health insurance coverage,Margin of Error; Female: - 75 years and over: - No health insurance coverage
0500000US01003,1003,"Baldwin County, Alabama",193472,1202,93182,2162,6733,1244,6137,1500,596,715,15874,1613,15131,1758,743,888,7806,1369,5678,771,2128,1367,11280,1508,6671,1457,4609,1203,10923,768,5675,1175,5248,1392,11879,647,9175,1066,2704,1019,13047,413,11321,694,1726,636,9567,449,9567,449,0,192,6073,301,5726,620,347,531,100290,1993,6157,1058,6066,1097,91,155,15462,1476,14418,1596,1044,906,8263,1699,6409,1417,1854,1405,11285,995,7743,1080,3542,1314,12928,858,10401,1213,2527,1140,13277,749,10566,1190,2711,1027,14146,281,12398,678,1748,633,11164,386,11106,393,58,100,7608,361,7608,361,0,192
0500000US01015,1015,"Calhoun County, Alabama",115139,957,55434,1084,4235,613,4235,613,0,192,9074,567,9048,558,26,52,6205,541,4983,683,1222,551,7058,579,4949,765,2109,688,6748,647,4697,937,2051,763,7718,712,5248,724,2470,852,7022,297,6272,667,750,636,4784,262,4784,262,0,192,2590,209,2590,209,0,192,59705,838,3653,603,3630,612,23,38,8872,730,8538,766,334,327,6032,257,4716,608,1316,548,7599,422,6171,786,1428,778,8055,687,5418,906,2637,1006,7419,510,5977,664,1442,611,7955,77,7017,506,938,501,5614,311,5614,311,0,192,4506,364,4506,364,0,192
0500000US01043,1043,"Cullman County, Alabama",80078,680,39839,529,4221,641,3678,732,543,489,5301,764,5123,831,178,255,3401,338,2505,454,896,480,5087,448,3415,760,1672,654,5042,238,3342,585,1700,616,5649,237,4644,592,1005,547,5267,188,4835,241,432,265,3702,53,3702,53,0,192,2169,43,2169,43,0,192,40239,538,2836,402,2523,412,313,271,5598,252,4709,621,889,573,3692,395,2266,650,1426,534,4488,216,3158,496,1330,441,5326,314,3459,612,1867,599,5362,90,4384,432,978,436,5566,196,4882,410,684,364,4367,111,4367,111,0,192,3004,261,3004,261,0,192
0500000US01049,1049,"DeKalb County, Alabama",70341,477,34489,1607,1630,669,1630,669,0,192,6149,937,5786,967,363,297,4441,1645,2072,376,2369,1613,3783,530,2527,450,1256,680,4782,731,3626,869,1156,809,4979,604,3701,538,1278,682,4157,118,3952,188,205,155,3036,164,3036,164,0,192,1532,162,1532,162,0,192,35852,1599,2872,940,2758,920,114,182,5725,1287,5119,1230,606,585,2825,558,2117,635,708,426,3513,374,1861,587,1652,591,5179,698,3211,644,1968,973,4588,200,3652,563,936,530,4754,383,4413,410,341,237,3369,175,3369,175,0,192,3027,651,3027,651,0,192
0500000US01051,1051,"Elmore County, Alabama",74996,1880,35669,1818,2564,584,2335,600,229,341,6942,774,6853,776,89,132,3195,819,2603,758,592,497,4422,775,3255,837,1167,538,4078,810,3499,852,579,393,5128,813,4657,760,471,328,4497,477,4293,480,204,217,3102,271,3102,271,0,192,1741,248,1741,248,0,192,39327,1028,2656,536,2612,548,44,78,6295,541,5917,611,378,430,3370,729,3100,764,270,250,5236,867,4346,891,890,530,5670,523,4982,644,688,531,5471,634,5178,678,293,212,4993,262,4857,320,136,151,3421,179,3421,179,0,192,2215,165,2215,165,0,192
0500000US01055,1055,"Etowah County, Alabama",103152,328,50028,827,3656,466,3294,578,362,364,8504,595,8056,647,448,295,4474,649,3735,649,739,415,5783,487,3875,695,1908,644,6272,525,4777,707,1495,551,7367,475,5849,622,1518,608,6618,156,5792,491,826,467,4673,159,4597,205,76,124,2681,205,2681,205,0,192,53124,760,3359,545,3257,559,102,124,7324,521,6754,552,570,439,4767,346,2936,642,1831,638,5629,456,4161,688,1468,521,7810,658,6273,635,1537,730,7075,511,5924,758,1151,565,7506,206,6875,348,631,261,5261,240,5261,240,0,192,4393,175,4393,175,0,192
0500000US01069,1069,"Houston County, Alabama",102860,506,49324,411,3893,285,3796,318,97,112,9068,343,8508,362,560,334,4141,186,2963,367,1178,339,6132,279,3890,422,2242,453,6251,145,4621,371,1630,377,6900,198,5006,358,1894,348,6108,98,5532,231,576,222,4145,87,4117,96,28,45,2686,66,2686,66,0,192,53536,316,3361,190,3239,219,122,116,8500,225,8209,298,291,161,4396,172,3212,334,1184,339,6824,178,5530,358,1294,332,6858,163,5365,366,1493,352,7401,122,6374,312,1027,295,6827,181,5972,288,855,243,5076,165,4961,154,115,116,4293,115,4293,115,0,192
0500000US01073,1073,"Jefferson County, Alabama",652122,989,307444,1184,27505,1145,26704,1221,801,450,49895,1221,46613,1477,3282,1114,29674,439,22361,1314,7313,1176,44744,627,31538,2090,13206,2113,39426,632,31823,1237,7603,1324,40270,699,33746,1515,6524,1346,39674,552,35215,1054,4459,1022,22051,309,21990,315,61,74,14205,300,14205,300,0,192,344678,1035,25689,1023,24906,1175,783,537,49171,1157,45799,1684,3372,1338,31579,510,24948,1354,6631,1289,48701,704,39256,1544,9445,1644,43935,978,36227,1415,7708,1517,46381,746,39657,1419,6724,1518,46622,669,42213,1131,4409,1019,27473,351,27418,360,55,96,25127,668,24725,502,402,457
0500000US01077,1077,"Lauderdale County, Alabama",92067,540,44663,849,2997,543,2873,563,124,182,6709,826,6625,837,84,109,5914,901,3993,1006,1921,995,5440,470,4169,762,1271,624,4862,205,4351,281,511,284,5768,366,4515,692,1253,691,5949,226,4812,589,1137,544,4283,177,4283,177,0,192,2741,169,2652,182,89,151,47404,964,2603,385,2603,385,0,192,6310,824,6114,834,196,201,5786,228,4708,612,1078,551,4974,377,3720,664,1254,683,5311,404,4691,428,620,403,6632,386,5637,584,995,515,6700,169,6062,378,638,350,4924,209,4924,209,0,192,4164,370,4164,370,0,192
