DSA,FIPS,Duplicate?
Alabama Organ Center,'01001',0
Alabama Organ Center,'01003',0
Alabama Organ Center,'01005',0
Alabama Organ Center,'01007',0
Alabama Organ Center,'01009',0
Alabama Organ Center,'01011',0
Alabama Organ Center,'01013',0
Alabama Organ Center,'01015',0
Alabama Organ Center,'01017',0
Alabama Organ Center,'01019',0
Alabama Organ Center,'01021',0
Alabama Organ Center,'01023',0
Alabama Organ Center,'01025',0
Alabama Organ Center,'01027',0
Alabama Organ Center,'01029',0
Alabama Organ Center,'01031',0
Alabama Organ Center,'01033',0
Alabama Organ Center,'01035',0
Alabama Organ Center,'01037',0
Alabama Organ Center,'01039',0
Alabama Organ Center,'01041',0
Alabama Organ Center,'01043',0
Alabama Organ Center,'01045',0
Alabama Organ Center,'01047',0
Alabama Organ Center,'01049',0
Alabama Organ Center,'01051',0
Alabama Organ Center,'01053',0
Alabama Organ Center,'01055',0
Alabama Organ Center,'01057',0
Alabama Organ Center,'01059',0
Alabama Organ Center,'01061',0
Alabama Organ Center,'01063',0
Alabama Organ Center,'01065',0
Alabama Organ Center,'01067',0
Alabama Organ Center,'01069',0
Alabama Organ Center,'01071',0
Alabama Organ Center,'01073',0
Alabama Organ Center,'01075',0
Alabama Organ Center,'01077',0
Alabama Organ Center,'01079',0
Alabama Organ Center,'01081',0
Alabama Organ Center,'01083',0
Alabama Organ Center,'01085',0
Alabama Organ Center,'01087',0
Alabama Organ Center,'01089',0
Alabama Organ Center,'01091',0
Alabama Organ Center,'01093',0
Alabama Organ Center,'01095',0
Alabama Organ Center,'01097',0
Alabama Organ Center,'01099',0
Alabama Organ Center,'01101',0
Alabama Organ Center,'01103',0
Alabama Organ Center,'01105',0
Alabama Organ Center,'01107',0
Alabama Organ Center,'01109',0
Alabama Organ Center,'01111',0
Alabama Organ Center,'01113',0
Alabama Organ Center,'01115',0
Alabama Organ Center,'01117',0
Alabama Organ Center,'01119',0
Alabama Organ Center,'01121',0
Alabama Organ Center,'01123',0
Alabama Organ Center,'01125',0
Alabama Organ Center,'01127',0
Alabama Organ Center,'01129',0
Alabama Organ Center,'01131',0
Alabama Organ Center,'01133',0
LifeCenter Northwest,'02013',0
LifeCenter Northwest,'02016',0
LifeCenter Northwest,'02020',0
LifeCenter Northwest,'02050',0
LifeCenter Northwest,'02060',0
LifeCenter Northwest,'02068',0
LifeCenter Northwest,'02070',0
LifeCenter Northwest,'02090',0
LifeCenter Northwest,'02100',0
LifeCenter Northwest,'02110',0
LifeCenter Northwest,'02122',0
LifeCenter Northwest,'02130',0
LifeCenter Northwest,'02150',0
LifeCenter Northwest,'02164',0
LifeCenter Northwest,'02170',0
LifeCenter Northwest,'02180',0
LifeCenter Northwest,'02185',0
LifeCenter Northwest,'02188',0
LifeCenter Northwest,'02198',0
LifeCenter Northwest,'02220',0
LifeCenter Northwest,'02230',0
LifeCenter Northwest,'02240',0
LifeCenter Northwest,'02261',0
LifeCenter Northwest,'02270',0
LifeCenter Northwest,'02275',0
LifeCenter Northwest,'02282',0
LifeCenter Northwest,'02290',0
Donor Network of Arizona,'04001',0
Donor Network of Arizona,'04003',0
Donor Network of Arizona,'04005',0
Donor Network of Arizona,'04007',0
Donor Network of Arizona,'04009',0
Donor Network of Arizona,'04011',0
Donor Network of Arizona,'04012',0
Donor Network of Arizona,'04013',0
Nevada Donor Network,'04015',0
Donor Network of Arizona,'04017',0
Donor Network of Arizona,'04019',0
Donor Network of Arizona,'04021',0
Donor Network of Arizona,'04023',0
Donor Network of Arizona,'04025',0
Donor Network of Arizona,'04027',0
Arkansas Regional Organ Recovery Agency,'05001',0
Arkansas Regional Organ Recovery Agency,'05003',0
Arkansas Regional Organ Recovery Agency,'05005',0
Arkansas Regional Organ Recovery Agency,'05007',0
Arkansas Regional Organ Recovery Agency,'05009',0
Arkansas Regional Organ Recovery Agency,'05011',0
Arkansas Regional Organ Recovery Agency,'05013',0
Arkansas Regional Organ Recovery Agency,'05015',0
Arkansas Regional Organ Recovery Agency,'05017',0
Arkansas Regional Organ Recovery Agency,'05019',0
Mid-America Transplant Services,'05021',0
Arkansas Regional Organ Recovery Agency,'05023',0
Arkansas Regional Organ Recovery Agency,'05025',0
Arkansas Regional Organ Recovery Agency,'05027',0
Arkansas Regional Organ Recovery Agency,'05029',0
Mid-America Transplant Services,'05031',0
Arkansas Regional Organ Recovery Agency,'05033',0
Mid-South Transplant Foundation,'05035',0
Mid-South Transplant Foundation,'05037',0
Arkansas Regional Organ Recovery Agency,'05039',0
Arkansas Regional Organ Recovery Agency,'05041',0
Arkansas Regional Organ Recovery Agency,'05043',0
Arkansas Regional Organ Recovery Agency,'05045',0
Arkansas Regional Organ Recovery Agency,'05047',0
Arkansas Regional Organ Recovery Agency,'05049',0
Arkansas Regional Organ Recovery Agency,'05051',0
Arkansas Regional Organ Recovery Agency,'05053',0
Mid-America Transplant Services,'05055',0
Arkansas Regional Organ Recovery Agency,'05057',0
Arkansas Regional Organ Recovery Agency,'05059',0
Arkansas Regional Organ Recovery Agency,'05061',0
Mid-America Transplant Services,'05063',0
Arkansas Regional Organ Recovery Agency,'05065',0
Arkansas Regional Organ Recovery Agency,'05067',0
Arkansas Regional Organ Recovery Agency,'05069',0
Arkansas Regional Organ Recovery Agency,'05071',0
Arkansas Regional Organ Recovery Agency,'05073',0
Mid-America Transplant Services,'05075',0
Mid-South Transplant Foundation,'05077',0
Arkansas Regional Organ Recovery Agency,'05079',0
Arkansas Regional Organ Recovery Agency,'05081',0
Arkansas Regional Organ Recovery Agency,'05083',0
Arkansas Regional Organ Recovery Agency,'05085',0
Arkansas Regional Organ Recovery Agency,'05087',0
Arkansas Regional Organ Recovery Agency,'05089',0
Southwest Transplant Alliance,'05091',0
Mid-South Transplant Foundation,'05093',0
Arkansas Regional Organ Recovery Agency,'05095',0
Arkansas Regional Organ Recovery Agency,'05097',0
Arkansas Regional Organ Recovery Agency,'05099',0
Arkansas Regional Organ Recovery Agency,'05101',0
Arkansas Regional Organ Recovery Agency,'05103',0
Arkansas Regional Organ Recovery Agency,'05105',0
Mid-South Transplant Foundation,'05107',0
Arkansas Regional Organ Recovery Agency,'05109',0
Arkansas Regional Organ Recovery Agency,'05111',0
Arkansas Regional Organ Recovery Agency,'05113',0
Arkansas Regional Organ Recovery Agency,'05115',0
Arkansas Regional Organ Recovery Agency,'05117',0
Arkansas Regional Organ Recovery Agency,'05119',0
Arkansas Regional Organ Recovery Agency,'05121',0
Mid-South Transplant Foundation,'05123',0
Arkansas Regional Organ Recovery Agency,'05125',0
Arkansas Regional Organ Recovery Agency,'05127',0
Arkansas Regional Organ Recovery Agency,'05129',0
Arkansas Regional Organ Recovery Agency,'05131',0
Arkansas Regional Organ Recovery Agency,'05133',0
Arkansas Regional Organ Recovery Agency,'05135',0
Arkansas Regional Organ Recovery Agency,'05137',0
Arkansas Regional Organ Recovery Agency,'05139',0
Arkansas Regional Organ Recovery Agency,'05141',0
Arkansas Regional Organ Recovery Agency,'05143',0
Arkansas Regional Organ Recovery Agency,'05145',0
Arkansas Regional Organ Recovery Agency,'05147',0
Arkansas Regional Organ Recovery Agency,'05149',0
California Transplant Donor Network,'06001',0
California Transplant Donor Network,'06003',0
Sierra Donor Services,'06005',0
California Transplant Donor Network,'06007',0
Sierra Donor Services,'06009',0
Sierra Donor Services,'06011',0
California Transplant Donor Network,'06013',0
California Transplant Donor Network,'06015',0
Sierra Donor Services,'06017',0
California Transplant Donor Network,'06019',0
California Transplant Donor Network,'06021',0
California Transplant Donor Network,'06023',0
Lifesharing - A Donate Life Organization,'06025',0
California Transplant Donor Network,'06027',0
OneLegacy,'06029',0
California Transplant Donor Network,'06031',0
California Transplant Donor Network,'06033',0
California Transplant Donor Network,'06035',0
OneLegacy,'06037',0
California Transplant Donor Network,'06039',0
California Transplant Donor Network,'06041',0
California Transplant Donor Network,'06043',0
California Transplant Donor Network,'06045',0
California Transplant Donor Network,'06047',0
California Transplant Donor Network,'06049',0
California Transplant Donor Network,'06051',0
California Transplant Donor Network,'06053',0
California Transplant Donor Network,'06055',0
Sierra Donor Services,'06057',0
OneLegacy,'06059',0
Sierra Donor Services,'06061',0
California Transplant Donor Network,'06063',0
OneLegacy,'06065',0
Sierra Donor Services,'06067',0
California Transplant Donor Network,'06069',0
OneLegacy,'06071',0
Lifesharing - A Donate Life Organization,'06073',0
California Transplant Donor Network,'06075',0
California Transplant Donor Network,'06077',0
California Transplant Donor Network,'06079',0
California Transplant Donor Network,'06081',0
OneLegacy,'06083',0
California Transplant Donor Network,'06085',0
California Transplant Donor Network,'06087',0
California Transplant Donor Network,'06089',0
Sierra Donor Services,'06091',0
California Transplant Donor Network,'06093',0
California Transplant Donor Network,'06095',0
California Transplant Donor Network,'06097',0
California Transplant Donor Network,'06099',0
Sierra Donor Services,'06101',0
California Transplant Donor Network,'06103',0
California Transplant Donor Network,'06105',0
California Transplant Donor Network,'06107',0
California Transplant Donor Network,'06109',0
OneLegacy,'06111',0
Sierra Donor Services,'06113',0
Sierra Donor Services,'06115',0
Donor Alliance,'08001',0
Donor Alliance,'08003',0
Donor Alliance,'08005',0
Donor Alliance,'08007',0
Donor Alliance,'08009',0
Donor Alliance,'08011',0
Donor Alliance,'08013',0
Donor Alliance,'08014',0
Donor Alliance,'08015',0
Donor Alliance,'08017',0
Donor Alliance,'08019',0
Donor Alliance,'08021',0
Donor Alliance,'08023',0
Donor Alliance,'08025',0
Donor Alliance,'08027',0
Donor Alliance,'08029',0
Donor Alliance,'08031',0
Donor Alliance,'08033',0
Donor Alliance,'08035',0
Donor Alliance,'08037',0
Donor Alliance,'08039',0
Donor Alliance,'08041',0
Donor Alliance,'08043',0
Donor Alliance,'08045',0
Donor Alliance,'08047',0
Donor Alliance,'08049',0
Donor Alliance,'08051',0
Donor Alliance,'08053',0
Donor Alliance,'08055',0
Donor Alliance,'08057',0
Donor Alliance,'08059',0
Donor Alliance,'08061',0
Donor Alliance,'08063',0
Donor Alliance,'08065',0
Donor Alliance,'08067',0
Donor Alliance,'08069',0
Donor Alliance,'08071',0
Donor Alliance,'08073',0
Donor Alliance,'08075',0
Donor Alliance,'08077',0
Donor Alliance,'08079',0
Donor Alliance,'08081',0
Donor Alliance,'08083',0
Donor Alliance,'08085',0
Donor Alliance,'08087',0
Donor Alliance,'08089',0
Donor Alliance,'08091',0
Donor Alliance,'08093',0
Donor Alliance,'08095',0
Donor Alliance,'08097',0
Donor Alliance,'08099',0
Donor Alliance,'08101',0
Donor Alliance,'08103',0
Donor Alliance,'08105',0
Donor Alliance,'08107',0
